Nome,qnt Veiculos ,custo,Tempo
A-n34-k5.vrp,5,778.0,604.271472454071
A-n39-k6.vrp,6,833.0,690.2777080535889
B-n38-k6.vrp,6,806.0,776.9680559635162
A-n32-k5.vrp,5,784.0,800.5837531089783
B-n31-k5.vrp,5,672.0,880.0573263168335
A-n33-k5.vrp,5,661.0,323.9084460735321
A-n37-k6.vrp,6,949.0,1428.9540150165558
B-n39-k5.vrp,5,550.0,704.5169360637665
B-n43-k6.vrp,6,742.0,1800.3112428188324
A-n33-k6.vrp,6,742.0,922.1920771598816
A-n36-k5.vrp,5,805.0,1475.5734384059906
B-n51-k7.vrp,8,1016.0,2349.70392036438
A-n38-k5.vrp,5,731.0,939.0168325901031
B-n34-k5.vrp,5,788.0,1543.5001685619354
A-n37-k5.vrp,5,669.0,472.3126575946808
B-n45-k6.vrp,6,680.0,3035.765490293503
B-n35-k5.vrp,5,955.0,617.1312429904938
A-n44-k6.vrp,6,938.0,2589.295559167862
B-n57-k7.vrp,8,1140.0,3327.0184729099274
B-n41-k6.vrp,6,831.0,2088.683402299881
A-n39-k5.vrp,5,822.0,1380.1923174858093
A-n45-k7.vrp,7,1146.0,3994.9395067691803
A-n53-k7.vrp,7,1017.0,4575.976138114929
A-n45-k6.vrp,7,953.0,1536.6730451583862
B-n44-k7.vrp,7,909.0,3647.8880484104156
B-n52-k7.vrp,7,747.0,3809.279566526413
A-n46-k7.vrp,7,914.0,2479.323165655136
B-n50-k7.vrp,7,741.0,3653.0009248256683
A-n65-k9.vrp,9,1178.0,7098.160732507706
B-n45-k5.vrp,5,751.0,2690.731278896332
B-n64-k9.vrp,10,884.0,8544.184258460999
A-n54-k7.vrp,7,1167.0,4896.733874082565
A-n48-k7.vrp,7,1073.0,3479.9321932792664
B-n56-k7.vrp,7,707.0,4560.558390378952
A-n63-k10.vrp,10,1318.0,10802.052717924118
A-n60-k9.vrp,9,1356.0,11052.644536495209
B-n57-k9.vrp,9,1602.0,8035.503878116608
A-n55-k9.vrp,9,1074.0,2131.1756739616394
