Algoritmo,Nome,qnt Veiculos,custo,Tempo,iteracao,Valor Otimo,Desvio padrão
+AG,A-n32-k5.vrp,5,784,00:00:19,6,784,0.0
+AG,A-n33-k5.vrp,5,661,00:00:22,7,661,0.0
+AG,A-n33-k6.vrp,6,742,00:00:28,8,742,0.0
+AG,A-n34-k5.vrp,5,778,00:00:27,8,778,0.0
+AG,A-n37-k5.vrp,5,669,00:00:38,7,669,0.0
+AG,A-n37-k6.vrp,6,949,00:00:40,8,949,0.0
+AG,A-n38-k5.vrp,5,730,00:01:09,12,730,0.0
+AG,A-n39-k5.vrp,5,825,00:01:12,13,825,0.0
+AG,A-n39-k6.vrp,6,833,00:00:57,9,833,0.0
+AG,A-n44-k6.vrp,6,943,00:01:58,14,937,4.242640687119285
+AG,A-n45-k6.vrp,7,960,00:01:59,10,944,11.313708498984761
+AG,A-n45-k7.vrp,7,1150,00:02:43,16,1146,2.8284271247461903
+AG,A-n46-k7.vrp,7,916,00:02:13,15,916,0.0
+AG,A-n48-k7.vrp,7,1073,00:03:16,14,1073,0.0
+AG,A-n53-k7.vrp,7,1017,00:03:32,13,1010,4.949747468305833
+AG,A-n54-k7.vrp,7,1167,00:04:58,15,1167,0.0
+AG,A-n55-k9.vrp,9,1074,00:04:20,14,1074,0.0
