AG-ACO,,,,,,ACO,,,,,,,,,,,
Nome,qnt Veiculos ,custo,Tempo,iteracao,,Nome,qnt Veiculos ,custo,Tempo,iteracao,Valor otimo,iteração AG-ACO >ACO,Tempo AG-ACO >ACO,Desvio padão  custo AG-ACO,Desvio padão custoACO,Media Interação AG-ACO,"3,03125"
A-n32-k5.vrp,5,"784,00",00:00:08,3,,A-n32-k5.vrp,5,784,00:00:07,4,784,,,0,0,Media Interação ACO,"3,15625"
A-n33-k5.vrp,5,"661,00",00:00:08,3,,A-n33-k5.vrp,5,661,00:00:04,2,661,,,0,0,Media Custo AG-ACO,"1074,4375"
A-n33-k6.vrp,6,"743,00",00:00:06,2,,A-n33-k6.vrp,6,742,00:00:07,4,742,,,"0,707106781186548",0,Media Custo ACO,"1074,3125"
A-n34-k5.vrp,5,"778,00",00:00:08,3,,A-n34-k5.vrp,5,786,00:00:04,2,778,,,"5,65685424949238","5,65685424949238",Media Custo Otimos,"1063,71875"
A-n36-k5.vrp,5,"807,00",00:00:33,2,,A-n36-k5.vrp,5,813,00:00:04,2,799,,,"4,24264068711929","9,89949493661167",,
A-n37-k5.vrp,5,"669,00",00:00:19,2,,A-n37-k5.vrp,5,669,00:00:06,2,669,,,0,0,,
A-n38-k5.vrp,5,"731,00",00:00:11,3,,A-n38-k5.vrp,5,731,00:00:06,2,730,,,0,"0,707106781186548",,
A-n39-k5.vrp,5,"828,00",00:01:26,3,,A-n39-k5.vrp,6,832,00:00:06,2,822,,,"2,82842712474619","7,07106781186548",,
A-n44-k6.vrp,6,"953,00",00:00:12,3,,A-n44-k6.vrp,6,958,00:00:07,2,937,,,"3,53553390593274","14,8492424049175",,
A-n45-k7.vrp,7,"1.164,00",00:00:19,2,,A-n45-k7.vrp,7,1154,00:00:14,4,1146,,,"7,07106781186548","5,65685424949238",,
A-n60-k9.vrp,9,"1.364,00",00:00:50,5,,A-n60-k9.vrp,9,1366,00:00:32,5,1354,,,"1,4142135623731","8,48528137423857",,
A-n61-k9.vrp,10,"1.045,00",00:00:32,4,,A-n61-k9.vrp,10,1049,00:00:21,3,1034,,,"2,82842712474619","10,6066017177982",,
A-n62-k8.vrp,8,"1.319,00",00:00:56,5,,A-n62-k8.vrp,8,1313,00:00:24,3,1288,,,"4,24264068711929","17,6776695296637",,
A-n63-k10.vrp,10,"1.334,00",00:00:32,4,,A-n63-k10.vrp,10,1327,00:00:31,4,1314,,,"4,94974746830583","9,19238815542512",,
A-n63-k9.vrp,10,"1.638,00",00:00:27,3,,A-n63-k9.vrp,10,1651,00:00:40,6,1616,,,"9,19238815542512","24,7487373415292",,
A-n64-k9.vrp,9,"1.438,00",00:00:37,2,,A-n64-k9.vrp,9,1432,00:00:32,4,1401,,,"4,24264068711929","21,920310216783",,
A-n65-k9.vrp,9,"1.181,00",00:00:48,6,,A-n65-k9.vrp,9,1189,00:00:24,3,1174,,,"5,65685424949238","10,6066017177982",,
A-n69-k9.vrp,9,"1.182,00",00:00:51,4,,A-n69-k9.vrp,9,1176,00:00:37,4,1159,,,"4,24264068711929","12,0208152801713",,
A-n80-k10.vrp,10,"1.808,00",00:02:36,3,,A-n80-k10.vrp,10,1793,00:01:44,9,1763,,,"10,6066017177982","21,2132034355964",,
B-n34-k5.vrp,5,"788,00",00:00:21,2,,B-n34-k5.vrp,5,788,00:00:07,3,788,,,0,0,,
B-n35-k5.vrp,5,"955,00",00:01:04,2,,B-n35-k5.vrp,5,955,00:00:05,2,955,,,0,0,,
B-n41-k6.vrp,6,"842,00",00:00:11,2,,B-n41-k6.vrp,6,834,00:00:13,5,829,,,"5,65685424949238","3,53553390593274",,
B-n43-k6.vrp,6,"745,00",00:00:10,2,,B-n43-k6.vrp,6,745,00:00:09,2,742,,,0,"2,12132034355964",,
B-n44-k7.vrp,7,"924,00",00:00:38,3,,B-n44-k7.vrp,7,912,00:00:09,3,909,,,"8,48528137423857","2,12132034355964",,
B-n50-k7.vrp,7,"741,00",00:00:13,2,,B-n50-k7.vrp,7,741,00:00:11,2,741,,,0,0,,
B-n50-k8.vrp,8,"1.325,00",00:00:41,3,,B-n50-k8.vrp,8,1327,00:00:10,2,1312,,,"1,4142135623731","10,6066017177982",,
B-n51-k7.vrp,8,"1.016,00",00:01:55,2,,B-n51-k7.vrp,8,1016,00:00:18,4,1032,,,0,"11,3137084989848",,
B-n57-k7.vrp,8,"1.140,00",00:01:32,2,,B-n57-k7.vrp,8,1140,00:00:15,2,1153,,,0,"9,19238815542512",,
B-n57-k9.vrp,9,"1.608,00",00:02:12,2,,B-n57-k9.vrp,9,1616,00:00:19,3,1598,,,"5,65685424949238","12,7279220613579",,
B-n66-k9.vrp,9,"1.330,00",00:00:35,3,,B-n66-k9.vrp,9,1323,00:00:22,2,1316,,,"4,94974746830583","4,94974746830583",,
B-n68-k9.vrp,9,"1.294,00",00:02:05,6,,B-n68-k9.vrp,9,1299,00:00:22,2,1272,,,"3,53553390593274","19,0918830920368",,
B-n78-k10.vrp,10,"1.247,00",00:08:05,4,,B-n78-k10.vrp,10,1256,00:00:32,2,1221,,,"6,36396103067893","24,7487373415292",,
,,,,,,,,,,,,,TOTAL,"107,480230740355","280,721392131059",,
